l2;Region;l2shp
Antioquia;Andina;ANTIOQUIA
Valle del Cauca;Pacífica;VALLE DEL CAUCA
Cundinamarca;Andina;CUNDINAMARCA
Huila;Andina;HUILA
Atlántico;Caribe;ATLANTICO
Bolívar;Caribe;BOLIVAR
Quindío;Andina;QUINDIO
Risaralda;Andina;RISARALDA
Caldas;Andina;CALDAS
Santander;Andina;SANTANDER
Norte de Santander;Andina;NORTE DE SANTANDER
Cauca;Pacífica;CAUCA
Magdalena;Caribe;MAGDALENA
Tolima;Andina;TOLIMA
Córdoba;Caribe;CORDOBA
Nariño;Pacífica;NARIÑO
Meta;Orinoquía;META
Casanare;Orinoquía;CASANARE
Cesar;Caribe;CESAR
Boyacá;Andina;BOYACA
Caquetá;Amazonia;CAQUETA
La Guajira;Caribe;LA GUAJIRA
Chocó;Pacífica;CHOCO
Sucre;Caribe;SUCRE
Arauca;Orinoquía;ARAUCA
Guainía;Amazonia;GUAINIA
San Andrés Providencia y Santa Catalina;Insular;ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA
Amazonas;Amazonia;AMAZONAS
Putumayo;Amazonia;PUTUMAYO
Vichada;Orinoquía;VICHADA
Guaviare;Amazonia;GUAVIARE
